Source,Year,Amount
Other renewables,1800,0
Other renewables,1810,0
Other renewables,1820,0
Other renewables,1830,0
Other renewables,1840,0
Other renewables,1850,0
Other renewables,1860,0
Other renewables,1870,0
Other renewables,1880,0
Other renewables,1890,0
Other renewables,1900,0
Other renewables,1910,0
Other renewables,1920,0
Other renewables,1930,0
Other renewables,1940,0
Other renewables,1950,0
Other renewables,1960,0
Other renewables,1965,55.94908524
Other renewables,1966,61.73760605
Other renewables,1967,62.35337448
Other renewables,1968,69.03191376
Other renewables,1969,72.55871582
Other renewables,1970,80.33794403
Other renewables,1971,87.33906555
Other renewables,1972,93.40202332
Other renewables,1973,100.2463074
Other renewables,1974,106.872963
Other renewables,1975,108.1472015
Other renewables,1976,120.5710602
Other renewables,1977,127.2666321
Other renewables,1978,135.026825
Other renewables,1979,144.5155182
Other renewables,1980,153.7885742
Other renewables,1981,164.9075775
Other renewables,1982,191.2328949
Other renewables,1983,211.7705841
Other renewables,1984,236.3206482
Other renewables,1985,244.3552246
Other renewables,1986,265.204895
Other renewables,1987,283.8797607
Other renewables,1988,292.2910461
Other renewables,1989,321.9194946
Other renewables,1990,361.1251526
Other renewables,1991,376.7493896
Other renewables,1992,404.7410278
Other renewables,1993,418.3900146
Other renewables,1994,434.5735779
Other renewables,1995,454.2080383
Other renewables,1996,466.2979431
Other renewables,1997,499.9099121
Other renewables,1998,520.494751
Other renewables,1999,546.0943604
Other renewables,2000,571.1834717
Other renewables,2001,593.1750488
Other renewables,2002,638.6609497
Other renewables,2003,674.0078125
Other renewables,2004,728.2478638
Other renewables,2005,788.9249878
Other renewables,2006,840.5309448
Other renewables,2007,912.0394287
Other renewables,2008,975.3799438
Other renewables,2009,1047.914429
Other renewables,2010,1180.300171
Other renewables,2011,1247.59729
Other renewables,2012,1352.366455
Other renewables,2013,1463.134521
Other renewables,2014,1584.601318
Other renewables,2015,1711.228394
Other renewables,2016,1737.302124
Other renewables,2017,1850.659912
Other renewables,2018,1995.825684
Other renewables,2019,2095.157959
Other renewables,2020,2185.723877
Other renewables,2021,2373.098633
Biofuels ,1800,0
Biofuels ,1810,0
Biofuels ,1820,0
Biofuels ,1830,0
Biofuels ,1840,0
Biofuels ,1850,0
Biofuels ,1860,0
Biofuels ,1870,0
Biofuels ,1880,0
Biofuels ,1890,0
Biofuels ,1900,0
Biofuels ,1910,0
Biofuels ,1920,0
Biofuels ,1930,0
Biofuels ,1940,0
Biofuels ,1950,0
Biofuels ,1960,0
Biofuels ,1965,9.02986145
Biofuels ,1966,9.209843636
Biofuels ,1967,9.38371563
Biofuels ,1968,9.553799629
Biofuels ,1969,9.723980904
Biofuels ,1970,11.0390625
Biofuels ,1971,11.64955807
Biofuels ,1972,12.94693279
Biofuels ,1973,12.5866394
Biofuels ,1974,12.16781425
Biofuels ,1975,11.48027992
Biofuels ,1976,11.86993122
Biofuels ,1977,15.85667896
Biofuels ,1978,20.97179222
Biofuels ,1979,26.00082588
Biofuels ,1980,29.85854721
Biofuels ,1981,27.29734802
Biofuels ,1982,35.22252274
Biofuels ,1983,44.50929642
Biofuels ,1984,53.71253204
Biofuels ,1985,63.57527924
Biofuels ,1986,79.67752838
Biofuels ,1987,81.1354599
Biofuels ,1988,85.56256104
Biofuels ,1989,91.30406189
Biofuels ,1990,100.9355927
Biofuels ,1991,106.6506271
Biofuels ,1992,104.6589661
Biofuels ,1993,109.135025
Biofuels ,1994,117.9161911
Biofuels ,1995,124.0906754
Biofuels ,1996,119.1962967
Biofuels ,1997,124.0634079
Biofuels ,1998,126.4851151
Biofuels ,1999,128.3188324
Biofuels ,2000,125.5153275
Biofuels ,2001,121.6528397
Biofuels ,2002,151.3021088
Biofuels ,2003,171.0836639
Biofuels ,2004,202.1987305
Biofuels ,2005,240.3444824
Biofuels ,2006,298.0293884
Biofuels ,2007,391.1390076
Biofuels ,2008,527.3995361
Biofuels ,2009,600.3394775
Biofuels ,2010,691.1564331
Biofuels ,2011,728.1022949
Biofuels ,2012,754.131897
Biofuels ,2013,819.0755005
Biofuels ,2014,868.7943726
Biofuels ,2015,905.0957642
Biofuels ,2016,946.9467773
Biofuels ,2017,972.5343018
Biofuels ,2018,1045.907959
Biofuels ,2019,1120.149414
Biofuels ,2020,1065.564941
Biofuels ,2021,1139.921143
Solar ,1800,0
Solar ,1810,0
Solar ,1820,0
Solar ,1830,0
Solar ,1840,0
Solar ,1850,0
Solar ,1860,0
Solar ,1870,0
Solar ,1880,0
Solar ,1890,0
Solar ,1900,0
Solar ,1910,0
Solar ,1920,0
Solar ,1930,0
Solar ,1940,0
Solar ,1950,0
Solar ,1960,0
Solar ,1965,0
Solar ,1966,0
Solar ,1967,0
Solar ,1968,0
Solar ,1969,0
Solar ,1970,0
Solar ,1971,0
Solar ,1972,0
Solar ,1973,0
Solar ,1974,0
